iter	Passed	Remaining
0	1	142
1	2	137
2	4	129
3	4	116
4	5	113
5	6	109
6	8	106
7	9	106
8	10	105
9	11	103
10	12	102
11	13	102
12	15	100
13	16	99
14	17	98
15	18	96
16	19	95
17	20	93
18	21	92
19	22	90
20	24	90
21	25	89
22	26	88
23	27	87
24	28	86
25	29	85
26	30	83
27	32	82
28	33	81
29	34	80
30	35	79
31	36	78
32	38	77
33	39	76
34	40	75
35	41	74
36	42	72
37	44	71
38	45	70
39	46	69
40	47	68
41	47	66
42	49	64
43	50	64
44	51	63
45	53	62
46	54	61
47	55	59
48	56	58
49	57	57
50	58	56
51	59	54
52	60	54
53	62	52
54	62	51
55	64	50
56	65	49
57	67	48
58	68	47
59	70	46
60	71	45
61	72	44
62	74	43
63	75	42
64	77	41
65	78	40
66	80	39
67	81	38
68	83	37
69	84	36
70	86	35
71	87	34
72	89	33
73	90	31
74	92	30
75	94	29
76	95	28
77	97	27
78	98	26
79	100	25
80	101	23
81	102	22
82	104	21
83	106	20
84	107	18
85	109	17
86	110	16
87	112	15
88	113	14
89	114	12
90	116	11
91	117	10
92	119	9
93	121	7
94	124	6
95	126	5
96	128	3
97	130	2
98	131	1
99	132	0
